stock_date,pos.meanSS,pos.sumSS,pos.numTweets,neg.meanSS,neg.sumSS,neg.numTweets,neu.meanSS,neu.sumSS,neu.numTweets,percent_pos,percent_neg,percent_neu,most_extreme_sentiment
2021-12-31,0.7761222384870052,6.208977907896042,8.0,0.824446439743042,3.297785758972168,4.0,0.6428299148877462,3.856979489326477,6.0,0.4444444444444444,0.2222222222222222,0.3333333333333333,neg.meanSS
2022-01-03,0.7743335167566935,7.7433351675669355,10.0,0.7997274397561948,63.97819518049558,80.0,0.6689227961975596,15.385224312543869,23.0,0.08849557522123894,0.7079646017699115,0.20353982300884957,neg.meanSS
2022-01-04,0.802162230014801,36.097300350666046,45.0,0.8321140150902635,49.094726890325546,59.0,0.6659733048507146,23.30906566977501,35.0,0.3237410071942446,0.4244604316546763,0.2517985611510791,neg.meanSS
2022-01-05,0.7775223504665286,33.43346107006073,43.0,0.7881735637784004,47.290413826704025,60.0,0.6964145265519619,16.713948637247086,24.0,0.33858267716535434,0.47244094488188976,0.1889763779527559,neg.meanSS
2022-01-06,0.771682722227914,10.803558111190796,14.0,0.8412661722728184,23.555452823638916,28.0,0.6923827314376831,17.309568285942078,25.0,0.208955223880597,0.417910447761194,0.373134328358209,neg.meanSS
2022-01-07,0.7952621760575668,18.291030049324036,23.0,0.8171855994633266,28.60149598121643,35.0,0.6615463814565113,9.261649340391159,14.0,0.3194444444444444,0.4861111111111111,0.19444444444444445,neg.meanSS
2022-01-10,0.824056652577027,12.635535339514414,15.333333333333334,0.8288231743585079,30.11390866835912,36.333333333333336,0.6583957661281933,12.070589045683542,18.333333333333332,0.21904761904761905,0.5190476190476191,0.26190476190476186,neg.meanSS
2022-01-11,0.7855791412293911,18.853899389505386,24.0,0.8242893163804654,44.511623084545135,54.0,0.7036985612433889,16.185066908597946,23.0,0.2376237623762376,0.5346534653465347,0.22772277227722773,neg.meanSS
2022-01-12,0.7697857722640038,15.395715445280075,20.0,0.8312386173394418,51.536794275045395,62.0,0.7221031543754396,15.164166241884232,21.0,0.1941747572815534,0.6019417475728155,0.20388349514563106,neg.meanSS
2022-01-13,0.8548442111458889,36.758301079273224,43.0,0.8172043020075018,35.95698928833008,44.0,0.6791296646450505,22.411278933286667,33.0,0.35833333333333334,0.36666666666666664,0.275,pos.meanSS
2022-01-14,0.8783785581588746,26.351356744766235,30.0,0.8422051661544376,37.89923247694969,45.0,0.682822407860505,12.973625749349594,19.0,0.3191489361702128,0.4787234042553192,0.20212765957446807,pos.meanSS
2022-01-17,0.7931148736707626,8.195520361264547,10.333333333333334,0.8214513093910434,24.095905075470608,29.333333333333332,0.6903848350048065,7.594233185052872,11.0,0.20394736842105265,0.5789473684210527,0.21710526315789475,neg.meanSS
2022-01-18,0.8225935772061348,13.161497235298157,16.0,0.8222653491824281,41.93553280830383,51.0,0.6527244385920072,12.401764333248138,19.0,0.18604651162790697,0.5930232558139535,0.22093023255813954,pos.meanSS
2022-01-19,0.7923953031238756,30.111021518707275,38.0,0.828110226563045,40.5774011015892,49.0,0.6743777127642381,12.813176542520523,19.0,0.3584905660377358,0.46226415094339623,0.1792452830188679,neg.meanSS
2022-01-20,0.7343045953781374,22.76344245672226,31.0,0.8739706167468319,23.59720665216446,27.0,0.6570143004258474,15.768343210220337,24.0,0.3780487804878049,0.32926829268292684,0.2926829268292683,neg.meanSS
2022-01-21,0.8116290255596763,15.42095148563385,19.0,0.8209708482027054,22.98718374967575,28.0,0.7123162224888802,5.698529779911041,8.0,0.34545454545454546,0.509090909090909,0.14545454545454545,neg.meanSS
2022-01-24,0.7931301452611622,10.046315173308054,12.666666666666666,0.8083052872395029,26.404639383157093,32.666666666666664,0.7137519790201771,11.657948990662893,16.333333333333332,0.20540540540540542,0.5297297297297298,0.2648648648648649,neg.meanSS
2022-01-25,0.7670162288766158,14.5733083486557,19.0,0.7571148170578864,23.47055932879448,31.0,0.6905730783939361,17.264326959848404,25.0,0.25333333333333335,0.41333333333333333,0.3333333333333333,pos.meanSS
2022-01-26,0.8092248684830136,36.41511908173561,45.0,0.864931507544084,28.542739748954773,33.0,0.6797255161735747,12.235059291124344,18.0,0.46875,0.34375,0.1875,neg.meanSS
2022-01-27,0.8333349803398395,24.166714429855347,29.0,0.811640529996819,29.219059079885483,36.0,0.6546311262581084,11.78336027264595,18.0,0.3493975903614458,0.43373493975903615,0.21686746987951808,pos.meanSS
2022-01-28,0.8758469223976135,16.641091525554657,19.0,0.8274382927588054,23.16827219724655,28.0,0.7330574946744102,10.262804925441742,14.0,0.3114754098360656,0.45901639344262296,0.22950819672131148,pos.meanSS
2022-01-31,0.7948198950872188,10.862538566191992,13.666666666666666,0.8237909441058701,20.320176621278126,24.666666666666668,0.6507206389849837,9.543902705113092,14.666666666666666,0.2578616352201258,0.46540880503144655,0.27672955974842767,neg.meanSS
2022-02-01,0.900346600347095,16.20623880624771,18.0,0.7969246849417686,47.81548109650612,60.0,0.6602845404829297,18.487967133522034,28.0,0.16981132075471697,0.5660377358490566,0.2641509433962264,pos.meanSS
2022-02-02,0.8435825450079781,17.71523344516754,21.0,0.8466497169600593,38.09923726320267,45.0,0.7282520178705454,11.652032285928726,16.0,0.25609756097560976,0.5487804878048781,0.1951219512195122,neg.meanSS
2022-02-03,0.8678322264126369,30.37412792444229,35.0,0.8151660273472469,24.454980820417404,30.0,0.6792150259017944,13.584300518035889,20.0,0.4117647058823529,0.35294117647058826,0.23529411764705882,pos.meanSS
