week,pos.meanSS,pos.sumSS,pos.numTweets,neg.meanSS,neg.sumSS,neg.numTweets,neu.meanSS,neu.sumSS,neu.numTweets,percent_pos,percent_neg,percent_neu,most_extreme_sentiment
1,0.7861635811867252,121.85535508394241,155,0.8068167655530134,340.47667506337166,422,0.6751491309639936,112.74990487098694,167,0.20833333333333334,0.5672043010752689,0.22446236559139784,neg.meanSS
2,0.8298520164255716,135.26587867736816,163,0.8288100800316804,260.24636512994766,314,0.6817609600673448,102.94590497016907,151,0.25955414012738853,0.5,0.24044585987261147,pos.meanSS
3,0.7855072131863347,106.04347378015518,135,0.8287450186754941,201.38503953814507,243,0.6744127516607636,69.46451342105865,103,0.2806652806652807,0.5051975051975052,0.21413721413721415,neg.meanSS
4,0.8129011927048365,121.93517890572548,150,0.8124537544440379,183.61454850435257,226,0.6977370840407187,86.51939842104912,124,0.3,0.452,0.248,pos.meanSS
5,0.8435782843122357,128.22389921545982,152,0.8242503586280868,206.8868400156498,251,0.6695352788046589,85.03098040819168,127,0.28679245283018867,0.47358490566037736,0.23962264150943396,pos.meanSS
6,0.8094282285372416,121.41423428058624,150,0.8267974896090371,260.4412092268467,315,0.6916801767928578,148.01955783367157,214,0.22091310751104565,0.4639175257731959,0.31516936671575846,neg.meanSS
7,0.8277080259362205,151.47056874632835,183,0.8176348253792407,208.4968804717064,255,0.6756793626172598,116.21685037016869,172,0.3,0.4180327868852459,0.2819672131147541,pos.meanSS
8,0.8098131555777329,126.33085227012634,156,0.8279934564362401,247.5700434744358,299,0.6875425170574869,96.25595238804817,140,0.26218487394957984,0.5025210084033613,0.23529411764705882,neg.meanSS
9,0.846188707436834,118.46641904115677,140,0.8082521761594553,204.4878005683422,253,0.6963476642138429,100.27406364679337,144,0.260707635009311,0.47113594040968343,0.2681564245810056,pos.meanSS
10,0.819455383211067,158.974344342947,194,0.8160763954875445,161.5831263065338,198,0.6988827241353752,84.5648096203804,121,0.37816764132553604,0.38596491228070173,0.23586744639376217,pos.meanSS
11,0.7981293288866679,179.57909899950027,225,0.798633447735109,170.90755781531334,214,0.6893028940473284,120.62800645828247,175,0.36644951140065146,0.3485342019543974,0.28501628664495116,neg.meanSS
12,0.8038785667209835,219.4588487148285,273,0.7963325260600573,226.1584374010563,284,0.6803499380657576,150.35733631253242,221,0.3508997429305913,0.36503856041131105,0.28406169665809766,pos.meanSS
13,0.8233041026173754,154.78117129206657,188,0.8213464220364889,157.69851303100586,192,0.7011096336459386,91.84536200761795,131,0.3679060665362035,0.37573385518590996,0.2563600782778865,pos.meanSS
14,0.8260488607944586,161.07952785491943,195,0.8076470545227663,155.8758815228939,193,0.6918735790711182,107.93227833509445,156,0.3584558823529412,0.3547794117647059,0.2867647058823529,pos.meanSS
15,0.8164996298154196,122.47494447231293,150,0.8073493650981358,141.28613889217377,175,0.7024010251675333,98.33614352345467,140,0.3225806451612903,0.3763440860215054,0.3010752688172043,pos.meanSS
16,0.7874954371754803,105.52438858151436,134,0.8386763519746192,157.6711541712284,188,0.7071922946859289,95.4709597826004,135,0.29321663019693656,0.4113785557986871,0.29540481400437635,neg.meanSS
17,0.7949600125423067,391.91528618335724,493,0.7726319417570657,485.9854913651943,629,0.6703311938748177,507.440713763237,757,0.26237360298030865,0.33475252794039384,0.4028738690792975,pos.meanSS
18,0.8443122914514026,312.39554783701897,370,0.7955723771141836,236.28499600291252,297,0.6836555196351303,157.9244250357151,231,0.41202672605790647,0.3307349665924276,0.2572383073496659,pos.meanSS
19,0.8339245125968405,156.77780836820602,188,0.8184306872651932,192.3312115073204,235,0.6832893407344818,102.49340111017227,150,0.32809773123909247,0.41012216404886565,0.2617801047120419,pos.meanSS
20,0.8121935297681399,155.12896418571472,191,0.8334512868896127,186.69308826327324,224,0.6915919704012351,69.85078901052475,101,0.3701550387596899,0.43410852713178294,0.19573643410852712,neg.meanSS
21,0.8073033637771703,159.84606602787971,198,0.8137578886810996,228.66596671938896,281,0.7045609305667526,191.64057311415672,272,0.2636484687083888,0.374167776298269,0.3621837549933422,neg.meanSS
22,0.84539296864027,140.33523279428482,166,0.8191971150013285,178.5849710702896,218,0.7379229982804986,132.08821669220924,179,0.29484902309058614,0.3872113676731794,0.31793960923623443,pos.meanSS
23,0.8046658962476448,196.33847868442535,244,0.8037810235615545,239.52674502134323,298,0.7028449537002877,153.923044860363,219,0.32063074901445465,0.3915900131406045,0.28777923784494086,pos.meanSS
24,0.7977831957087053,180.2990022301674,226,0.8265730670262209,190.93837848305702,231,0.6809252144828919,126.6520898938179,186,0.3514774494556765,0.359253499222395,0.2892690513219285,neg.meanSS
25,0.8149541758422582,172.77028527855873,212,0.8131057820890261,374.028659760952,460,0.6984073571344414,141.07828614115715,202,0.2425629290617849,0.5263157894736842,0.2311212814645309,pos.meanSS
26,0.816874876429763,129.06623047590256,158,0.8196561338766566,217.208875477314,265,0.6877520877040095,99.03630062937737,144,0.2786596119929453,0.4673721340388007,0.25396825396825395,neg.meanSS
27,0.8247700734385128,95.67332851886749,116,0.840485372173954,179.02338427305222,213,0.6857962230705235,100.12624856829643,146,0.24421052631578946,0.44842105263157894,0.30736842105263157,neg.meanSS
28,0.8412793842984028,102.63608488440514,122,0.8496398223681493,188.62004056572914,222,0.6876103896647692,99.01589611172676,144,0.25,0.45491803278688525,0.29508196721311475,neg.meanSS
29,0.8181906735056822,185.72928288578987,227,0.8189041097665625,221.92301374673843,271,0.6927658981414296,137.8604137301445,199,0.32568149210903874,0.38880918220946914,0.2855093256814921,neg.meanSS
30,0.8165060531658431,156.76916220784187,192,0.8259237308377101,267.5992887914181,324,0.7034142970401336,131.53847354650497,187,0.27311522048364156,0.46088193456614507,0.26600284495021337,neg.meanSS
31,0.8542408136030039,164.01423621177673,192,0.8054015369853005,206.18279346823692,256,0.7180481255054474,113.45160382986069,158,0.31683168316831684,0.42244224422442245,0.2607260726072607,pos.meanSS
32,0.8112081677250608,137.09418034553528,169,0.8394884010849073,216.58800747990608,258,0.705630770418793,90.3207386136055,128,0.3045045045045045,0.4648648648648649,0.23063063063063063,neg.meanSS
33,0.7993545224134987,118.3044693171978,148,0.8271096300374978,224.1467097401619,271,0.699789541162503,109.86695796251297,157,0.2569444444444444,0.4704861111111111,0.2725694444444444,neg.meanSS
34,0.836386188955018,138.00372117757797,165,0.8245338143466355,253.95641481876373,308,0.7117897687333353,126.69857883453369,178,0.2534562211981567,0.4731182795698925,0.27342549923195086,pos.meanSS
35,0.8531069121053142,185.12419992685318,217,0.8249998778725663,237.59996482729912,288,0.7090202951676225,207.03392618894577,292,0.2722710163111669,0.3613550815558344,0.36637390213299875,pos.meanSS
36,0.8372132643958591,126.41920292377472,151,0.8303032120068868,171.87276488542557,207,0.685478066442577,89.79762670397758,131,0.30879345603271985,0.4233128834355828,0.26789366053169733,pos.meanSS
37,0.8227658348112572,134.93359690904617,164,0.821785357209944,203.8027685880661,248,0.7082031318231633,107.64687603712082,152,0.2907801418439716,0.4397163120567376,0.2695035460992908,pos.meanSS
38,0.8205467340897541,120.62036991119385,147,0.8435244370266736,211.72463369369507,251,0.7115120602936684,112.41890552639961,158,0.2643884892086331,0.45143884892086333,0.2841726618705036,neg.meanSS
39,0.8329904464637341,122.44959563016891,147,0.8388049887956949,198.7967823445797,237,0.6674533568046711,90.1062031686306,135,0.2832369942196532,0.45664739884393063,0.26011560693641617,neg.meanSS
52,0.7761222384870052,6.208977907896042,8,0.824446439743042,3.297785758972168,4,0.6428299148877462,3.856979489326477,6,0.4444444444444444,0.2222222222222222,0.3333333333333333,neg.meanSS
53,0.9014844000339508,10.81781280040741,12,0.8133048085789931,30.90558272600174,38,0.5918372988700866,8.8775594830513,15,0.18461538461538463,0.5846153846153846,0.23076923076923078,pos.meanSS
